,date,location,new_cases,new_tests,CTratio
0,2020-03-04,Hungary,,,
1,2020-03-05,Hungary,2.0,,
2,2020-03-06,Hungary,,,
3,2020-03-07,Hungary,2.0,50.0,0.04
4,2020-03-08,Hungary,3.0,43.0,0.06976744186046512
5,2020-03-09,Hungary,1.0,,
6,2020-03-10,Hungary,1.0,,
7,2020-03-11,Hungary,3.0,78.0,0.038461538461538464
8,2020-03-12,Hungary,1.0,121.0,0.008264462809917356
9,2020-03-13,Hungary,3.0,128.0,0.0234375
10,2020-03-14,Hungary,9.0,156.0,0.057692307692307696
11,2020-03-15,Hungary,6.0,222.0,0.02702702702702703
12,2020-03-16,Hungary,8.0,234.0,0.03418803418803419
13,2020-03-17,Hungary,11.0,117.0,0.09401709401709402
14,2020-03-18,Hungary,0.0,216.0,0.0
15,2020-03-19,Hungary,23.0,519.0,0.04431599229287091
16,2020-03-20,Hungary,12.0,685.0,0.017518248175182483
17,2020-03-21,Hungary,18.0,470.0,0.03829787234042553
18,2020-03-22,Hungary,28.0,966.0,0.028985507246376812
19,2020-03-23,Hungary,36.0,1072.0,0.033582089552238806
20,2020-03-24,Hungary,20.0,598.0,0.033444816053511704
21,2020-03-25,Hungary,39.0,704.0,0.05539772727272727
22,2020-03-26,Hungary,35.0,1188.0,0.029461279461279462
23,2020-03-27,Hungary,39.0,1270.0,0.030708661417322834
24,2020-03-28,Hungary,43.0,1028.0,0.04182879377431906
25,2020-03-29,Hungary,65.0,1845.0,0.03523035230352303
26,2020-03-30,Hungary,39.0,1153.0,0.033824804856895055
27,2020-03-31,Hungary,45.0,845.0,0.05325443786982249
28,2020-04-01,Hungary,33.0,1062.0,0.031073446327683617
29,2020-04-02,Hungary,60.0,1193.0,0.050293378038558254
30,2020-04-03,Hungary,38.0,1368.0,0.027777777777777776
31,2020-04-04,Hungary,55.0,1655.0,0.03323262839879154
32,2020-04-05,Hungary,55.0,1826.0,0.030120481927710843
33,2020-04-06,Hungary,11.0,1032.0,0.01065891472868217
34,2020-04-07,Hungary,73.0,1464.0,0.049863387978142076
35,2020-04-08,Hungary,78.0,2002.0,0.03896103896103896
36,2020-04-09,Hungary,85.0,2078.0,0.04090471607314726
37,2020-04-10,Hungary,210.0,2122.0,0.09896324222431668
38,2020-04-11,Hungary,120.0,2013.0,0.05961251862891207
39,2020-04-12,Hungary,100.0,1571.0,0.06365372374283895
40,2020-04-13,Hungary,48.0,1287.0,0.037296037296037296
41,2020-04-14,Hungary,54.0,1006.0,0.0536779324055666
42,2020-04-15,Hungary,67.0,1501.0,0.04463690872751499
43,2020-04-16,Hungary,73.0,1163.0,0.06276870163370593
44,2020-04-17,Hungary,111.0,3101.0,0.035794904869396967
45,2020-04-18,Hungary,71.0,2311.0,0.03072263089571614
46,2020-04-19,Hungary,82.0,2452.0,0.033442088091353996
47,2020-04-20,Hungary,68.0,1704.0,0.03990610328638498
48,2020-04-21,Hungary,114.0,1995.0,0.05714285714285714
49,2020-04-22,Hungary,70.0,2650.0,0.026415094339622643
50,2020-04-23,Hungary,116.0,2688.0,0.043154761904761904
51,2020-04-24,Hungary,99.0,2861.0,0.03460328556448794
52,2020-04-25,Hungary,60.0,2550.0,0.023529411764705882
53,2020-04-26,Hungary,57.0,2704.0,0.021079881656804734
54,2020-04-27,Hungary,83.0,2120.0,0.03915094339622641
55,2020-04-28,Hungary,66.0,1547.0,0.04266321913380737
56,2020-04-29,Hungary,78.0,3128.0,0.024936061381074168
57,2020-04-30,Hungary,48.0,2651.0,0.018106374952847983
58,2020-05-01,Hungary,88.0,3380.0,0.02603550295857988
59,2020-05-02,Hungary,79.0,3220.0,0.02453416149068323
60,2020-05-03,Hungary,56.0,2459.0,0.02277348515656771
61,2020-05-04,Hungary,37.0,1948.0,0.018993839835728953
62,2020-05-05,Hungary,30.0,1599.0,0.01876172607879925
63,2020-05-06,Hungary,46.0,3178.0,0.0144745122718691
64,2020-05-07,Hungary,39.0,5301.0,0.007357102433503113
65,2020-05-08,Hungary,28.0,5022.0,0.005575467941059339
66,2020-05-09,Hungary,35.0,4200.0,0.008333333333333333
67,2020-05-10,Hungary,50.0,4999.0,0.010002000400080016
68,2020-05-11,Hungary,21.0,3908.0,0.0053735926305015355
69,2020-05-12,Hungary,29.0,2554.0,0.011354737666405637
70,2020-05-13,Hungary,28.0,3781.0,0.007405448294102089
71,2020-05-14,Hungary,39.0,4758.0,0.00819672131147541
72,2020-05-15,Hungary,37.0,3979.0,0.00929881879869314
73,2020-05-16,Hungary,56.0,4192.0,0.013358778625954198
74,2020-05-17,Hungary,36.0,3708.0,0.009708737864077669
75,2020-05-18,Hungary,26.0,2106.0,0.012345679012345678
76,2020-05-19,Hungary,21.0,1454.0,0.014442916093535076
77,2020-05-20,Hungary,42.0,4032.0,0.010416666666666666
78,2020-05-21,Hungary,43.0,4782.0,0.008992053534086157
79,2020-05-22,Hungary,37.0,8290.0,0.004463208685162847
80,2020-05-23,Hungary,35.0,3459.0,0.01011853136744724
81,2020-05-24,Hungary,28.0,3665.0,0.007639836289222374
82,2020-05-25,Hungary,15.0,1694.0,0.00885478158205431
83,2020-05-26,Hungary,15.0,1644.0,0.009124087591240875
84,2020-05-27,Hungary,22.0,3697.0,0.005950770895320531
85,2020-05-28,Hungary,23.0,4051.0,0.005677610466551469
86,2020-05-29,Hungary,25.0,6141.0,0.004070998208760788
87,2020-05-30,Hungary,0.0,3410.0,0.0
88,2020-05-31,Hungary,26.0,2418.0,0.010752688172043012
89,2020-06-01,Hungary,9.0,1985.0,0.004534005037783375
